user_id,order_id,order_date,product_id,product_name,category,price,quantity,revenue,payment_method,country
1,1001,2023-01-03,501,Headset Gamer Alpha,Eletrônicos,199.9,1,199.9,credit card,Brazil
1,1005,2023-02-10,503,Mouse X-Pro,Eletrônicos,129.9,1,129.9,pix,Brazil
2,1002,2023-01-05,601,Camiseta TechFit,Vestuário,49.9,2,99.8,credit card,Argentina
2,1009,2023-03-21,602,Calça Flex,Vestuário,129.9,1,129.9,debit card,Argentina
3,1003,2023-01-08,701,Creatina 300g,Suplementos,89.9,1,89.9,pix,Brazil
3,1011,2023-04-02,702,Whey Protein 1kg,Suplementos,149.9,1,149.9,credit card,Brazil
4,1004,2023-01-10,801,Livro Python para Iniciantes,Livros,59.9,1,59.9,boleto,Chile
4,1018,2023-05-15,802,Livro SQL Essencial,Livros,69.9,1,69.9,pix,Chile
5,1006,2023-02-14,503,Mouse X-Pro,Eletrônicos,129.9,1,129.9,debit card,Brazil
5,1022,2023-06-02,504,Teclado Mecânico T-RGB,Eletrônicos,249.9,1,249.9,credit card,Brazil
6,1007,2023-02-18,901,Sofá Comfort 3L,Móveis,1299.9,1,1299.9,credit card,Brazil
6,1030,2023-07-21,902,Mesa Office Pro,Móveis,799.9,1,799.9,pix,Brazil
7,1008,2023-02-21,701,Creatina 300g,Suplementos,89.9,3,269.7,boleto,Colombia
8,1010,2023-03-04,601,Camiseta TechFit,Vestuário,49.9,1,49.9,pix,Peru
9,1012,2023-04-04,503,Mouse X-Pro,Eletrônicos,129.9,1,129.9,credit card,Brazil
10,1013,2023-04-10,501,Headset Gamer Alpha,Eletrônicos,199.9,1,199.9,debit card,Uruguay
